song_id,split
1637,train
1287,train
1237,train
1205,train
1484,train
1823,train
1676,train
1207,train
1502,train
1131,train
1805,train
503,train
1749,train
1076,train
91,train
1526,train
440,train
1135,train
1661,train
1970,train
710,train
925,train
1678,train
908,train
426,train
1503,train
1436,train
168,train
464,train
487,train
1859,train
979,train
555,train
1734,train
1579,train
1145,train
1870,train
1574,train
859,train
62,train
1265,train
324,train
360,train
1325,train
613,train
315,train
1308,train
986,train
1103,train
773,train
2056,train
1890,train
1921,train
1268,train
1427,train
1239,train
988,train
1480,train
2039,train
1713,train
445,train
1876,train
742,train
818,train
1501,train
1923,train
215,train
247,train
1044,train
703,train
1334,train
42,train
1508,train
1232,train
1487,train
140,train
889,train
1270,train
117,train
1842,train
740,train
1705,train
1973,train
1310,train
722,train
1206,train
1836,train
450,train
303,train
856,train
1425,train
1550,train
67,train
466,train
2025,train
1576,train
56,train
1827,train
1429,train
162,train
864,train
890,train
155,train
285,train
1250,train
676,train
939,train
1577,train
1381,train
1006,train
1469,train
1742,train
461,train
1394,train
342,train
1903,train
1940,train
1336,train
429,train
124,train
188,train
1365,train
737,train
1221,train
220,train
1937,train
1754,train
775,train
1497,train
233,train
163,train
497,train
83,train
1471,train
1787,train
459,train
462,train
869,train
458,train
1468,train
364,train
1546,train
1273,train
1835,train
241,train
112,train
1995,train
2045,train
279,train
1077,train
1496,train
629,train
1107,train
873,train
45,train
209,train
435,train
2006,train
758,train
1212,train
2017,train
707,train
8,train
1618,train
1988,train
1289,train
269,train
1978,train
1884,train
1408,train
1001,train
340,train
1194,train
1927,train
675,train
1718,train
2013,train
1417,train
1976,train
32,train
1924,train
1777,train
1192,train
668,train
1171,train
1263,train
616,train
961,train
405,train
1019,train
1243,train
1058,train
523,train
349,train
2029,train
479,train
1939,train
1126,train
1061,train
1201,train
1691,train
899,train
973,train
485,train
1479,train
185,train
1113,train
807,train
1652,train
1404,train
991,train
1049,train
1875,train
182,train
1741,train
431,train
1759,train
46,train
1848,train
2000,train
1617,train
1399,train
1248,train
685,train
681,train
839,train
376,train
1796,train
1371,train
1695,train
1065,train
1906,train
1086,train
37,train
205,train
1011,train
1600,train
860,train
419,train
1342,train
1315,train
1234,train
1246,train
1806,train
1238,train
1944,train
597,train
1438,train
1979,train
1276,train
1459,train
1228,train
1138,train
375,train
1010,train
1241,train
1280,train
1969,train
427,train
1757,train
1548,train
1223,train
1080,train
1345,train
1511,train
1933,train
1244,train
820,train
1928,train
666,train
1255,train
167,train
468,train
1622,train
144,train
1540,train
2011,train
1352,train
690,train
1957,train
1941,train
1736,train
639,train
855,train
309,train
76,train
213,train
191,train
824,train
1254,train
1455,train
214,train
1925,train
1531,train
486,train
348,train
1476,train
1868,train
1062,train
1724,train
1635,train
1331,train
1200,train
1570,train
1799,train
515,train
1710,train
1299,train
1527,train
2044,train
1894,train
1702,train
1541,train
1560,train
1545,train
1630,train
1885,train
1616,train
1470,train
245,train
938,train
1530,train
1114,train
1507,train
1945,train
1867,train
1585,train
260,train
1419,train
995,train
985,train
1649,train
815,train
482,train
1018,train
198,train
1488,train
1680,train
